PRODUCTNAME,CATEGORY,MONTH,MONTHLYREVENUE,MONTHLYREVENUERANK,PREVIOUSMONTHSREVENUE,FIRSTMONTHREVENUE,TOTALREVENUE
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2018-09-01,499.99,419,1499.97,5999.88,26499.47
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2018-11-01,1999.96,200,499.99,5999.88,28499.43
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2018-12-01,3499.93,161,1999.96,5999.88,31999.36
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2019-02-01,999.98,444,3499.93,5999.88,32999.34
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2019-05-01,6499.87,49,999.98,5999.88,39499.21
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2019-06-01,499.99,497,6499.87,5999.88,39999.20
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2019-10-01,999.98,410,499.99,5999.88,40999.18
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2019-11-01,1999.96,227,999.98,5999.88,42999.14
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2019-12-01,3499.93,192,1999.96,5999.88,46499.07
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2020-01-01,1499.97,348,3499.93,5999.88,47999.04
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2020-02-01,999.98,477,1499.97,5999.88,48999.02
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2020-05-01,2499.95,90,999.98,5999.88,51498.97
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2020-09-01,1999.96,60,2499.95,5999.88,53498.93
"Adventure Works 32"" LCD HDTV M130 Silver",TV and Video,2020-12-01,1999.96,92,1999.96,5999.88,55498.89
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2016-06-01,999.98,154,,999.98,999.98
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2016-09-01,999.98,144,999.98,999.98,1999.96
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2016-10-01,3499.93,39,999.98,999.98,5499.89
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2017-01-01,3999.92,38,3499.93,999.98,9499.81
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2017-02-01,499.99,312,3999.92,999.98,9999.80
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2017-06-01,499.99,253,499.99,999.98,10499.79
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2017-11-01,3999.92,42,499.99,999.98,14499.71
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2017-12-01,999.98,303,3999.92,999.98,15499.69
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2018-07-01,499.99,363,999.98,999.98,15999.68
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2018-08-01,1999.96,138,499.99,999.98,17999.64
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2018-09-01,499.99,419,1999.96,999.98,18499.63
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2018-10-01,1499.97,244,499.99,999.98,19999.60
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2019-01-01,5499.89,73,1499.97,999.98,25499.49
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2019-04-01,999.98,47,5499.89,999.98,26499.47
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2019-05-01,1999.96,231,999.98,999.98,28499.43
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2019-07-01,499.99,514,1999.96,999.98,28999.42
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2019-09-01,1999.96,225,499.99,999.98,30999.38
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2019-10-01,1999.96,224,1999.96,999.98,32999.34
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2020-02-01,6499.87,73,1999.96,999.98,39499.21
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2020-06-01,3999.92,36,6499.87,999.98,43499.13
"Adventure Works 32"" LCD HDTV M130 White",TV and Video,2020-10-01,499.99,120,3999.92,999.98,43999.12
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-01-01,1099.99,164,,1099.99,1099.99
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-02-01,1099.99,188,1099.99,1099.99,2199.98
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-04-01,9899.91,1,1099.99,1099.99,12099.89
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-05-01,3299.97,42,9899.91,1099.99,15399.86
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-06-01,1099.99,139,3299.97,1099.99,16499.85
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-07-01,6599.94,11,1099.99,1099.99,23099.79
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-08-01,9899.91,10,6599.94,1099.99,32999.70
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-11-01,3299.97,40,9899.91,1099.99,36299.67
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2016-12-01,2199.98,121,3299.97,1099.99,38499.65
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2017-02-01,4399.96,37,2199.98,1099.99,42899.61
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2017-09-01,3299.97,48,4399.96,1099.99,46199.58
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2017-12-01,3299.97,89,3299.97,1099.99,49499.55
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2018-01-01,3299.97,68,3299.97,1099.99,52799.52
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2018-02-01,1099.99,283,3299.97,1099.99,53899.51
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2018-05-01,2199.98,121,1099.99,1099.99,56099.49
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2018-07-01,1099.99,231,2199.98,1099.99,57199.48
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-01-01,2199.98,248,1099.99,1099.99,59399.46
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-02-01,6599.94,68,2199.98,1099.99,65999.40
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-03-01,5499.95,27,6599.94,1099.99,71499.35
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-06-01,2199.98,172,5499.95,1099.99,73699.33
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-08-01,3299.97,125,2199.98,1099.99,76999.30
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-10-01,3299.97,130,3299.97,1099.99,80299.27
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2019-12-01,17599.84,11,3299.97,1099.99,97899.11
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2020-01-01,14299.87,11,17599.84,1099.99,112198.98
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2020-02-01,3299.97,183,14299.87,1099.99,115498.95
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2020-06-01,2199.98,98,3299.97,1099.99,117698.93
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2020-12-01,4399.96,36,2199.98,1099.99,122098.89
"Adventure Works 37"" 1080p LCD HDTV M150W Black",TV and Video,2021-01-01,7699.93,8,4399.96,1099.99,129798.82
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2016-02-01,14299.87,6,,14299.87,14299.87
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2016-05-01,2199.98,64,14299.87,14299.87,16499.85
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2016-10-01,5499.95,21,2199.98,14299.87,21999.80
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2017-01-01,8799.92,11,5499.95,14299.87,30799.72
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2017-02-01,3299.97,60,8799.92,14299.87,34099.69
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2017-10-01,2199.98,81,3299.97,14299.87,36299.67
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2017-11-01,3299.97,54,2199.98,14299.87,39599.64
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-01-01,1099.99,237,3299.97,14299.87,40699.63
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-03-01,6599.94,11,1099.99,14299.87,47299.57
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-05-01,4399.96,61,6599.94,14299.87,51699.53
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-06-01,9899.91,11,4399.96,14299.87,61599.44
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-07-01,1099.99,231,9899.91,14299.87,62699.43
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-08-01,5499.95,40,1099.99,14299.87,68199.38
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-09-01,1099.99,260,5499.95,14299.87,69299.37
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2018-12-01,2199.98,256,1099.99,14299.87,71499.35
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2019-01-01,1099.99,417,2199.98,14299.87,72599.34
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2019-07-01,6599.94,38,1099.99,14299.87,79199.28
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2019-09-01,8799.92,25,6599.94,14299.87,87999.20
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2019-10-01,1099.99,394,8799.92,14299.87,89099.19
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2019-11-01,4399.96,90,1099.99,14299.87,93499.15
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2019-12-01,3299.97,214,4399.96,14299.87,96799.12
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2020-01-01,12099.89,21,3299.97,14299.87,108899.01
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2020-02-01,3299.97,183,12099.89,14299.87,112198.98
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2020-05-01,1099.99,211,3299.97,14299.87,113298.97
"Adventure Works 37"" 1080p LCD HDTV M150W Brown",TV and Video,2020-06-01,3299.97,51,1099.99,14299.87,116598.94
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2016-02-01,3299.97,71,,3299.97,3299.97
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2016-05-01,2199.98,64,3299.97,3299.97,5499.95
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2016-08-01,2199.98,57,2199.98,3299.97,7699.93
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2016-09-01,3299.97,38,2199.98,3299.97,10999.90
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2016-11-01,2199.98,74,3299.97,3299.97,13199.88
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2016-12-01,9899.91,13,2199.98,3299.97,23099.79
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2017-06-01,5499.95,20,9899.91,3299.97,28599.74
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2017-07-01,5499.95,14,5499.95,3299.97,34099.69
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2017-08-01,3299.97,42,5499.95,3299.97,37399.66
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2017-10-01,5499.95,21,3299.97,3299.97,42899.61
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2017-11-01,2199.98,80,5499.95,3299.97,45099.59
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-01-01,1099.99,237,2199.98,3299.97,46199.58
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-02-01,7699.93,28,1099.99,3299.97,53899.51
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-05-01,1099.99,246,7699.93,3299.97,54999.50
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-07-01,3299.97,62,1099.99,3299.97,58299.47
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-09-01,9899.91,16,3299.97,3299.97,68199.38
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-11-01,10999.90,15,9899.91,3299.97,79199.28
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2018-12-01,15399.86,14,10999.90,3299.97,94599.14
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2019-01-01,2199.98,248,15399.86,3299.97,96799.12
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2019-03-01,3299.97,61,2199.98,3299.97,100099.09
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2019-05-01,3299.97,127,3299.97,3299.97,103399.06
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2019-10-01,6599.94,39,3299.97,3299.97,109999.00
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2019-11-01,5499.95,60,6599.94,3299.97,115498.95
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2019-12-01,10999.90,38,5499.95,3299.97,126498.85
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2020-01-01,7699.93,54,10999.90,3299.97,134198.78
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2020-02-01,2199.98,278,7699.93,3299.97,136398.76
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2020-03-01,4399.96,33,2199.98,3299.97,140798.72
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2020-06-01,6599.94,17,4399.96,3299.97,147398.66
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2020-08-01,10999.90,5,6599.94,3299.97,158398.56
"Adventure Works 37"" 1080p LCD HDTV M150W Silver",TV and Video,2020-12-01,3299.97,47,10999.90,3299.97,161698.53
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-04-01,5499.95,5,,5499.95,5499.95
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-06-01,8799.92,4,5499.95,5499.95,14299.87
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-08-01,2199.98,57,8799.92,5499.95,16499.85
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-09-01,2199.98,63,2199.98,5499.95,18699.83
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-10-01,1099.99,147,2199.98,5499.95,19799.82
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-11-01,7699.93,14,1099.99,5499.95,27499.75
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2016-12-01,2199.98,121,7699.93,5499.95,29699.73
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2017-06-01,2199.98,67,2199.98,5499.95,31899.71
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2017-07-01,4399.96,24,2199.98,5499.95,36299.67
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2017-09-01,1099.99,159,4399.96,5499.95,37399.66
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2017-10-01,3299.97,38,1099.99,5499.95,40699.63
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2017-11-01,1099.99,164,3299.97,5499.95,41799.62
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2017-12-01,10999.90,16,1099.99,5499.95,52799.52
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2018-02-01,10999.90,20,10999.90,5499.95,63799.42
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2018-07-01,1099.99,231,10999.90,5499.95,64899.41
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2018-08-01,3299.97,79,1099.99,5499.95,68199.38
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2018-12-01,18699.83,5,3299.97,5499.95,86899.21
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-03-01,2199.98,109,18699.83,5499.95,89099.19
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-05-01,17599.84,5,2199.98,5499.95,106699.03
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-06-01,4399.96,78,17599.84,5499.95,111098.99
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-07-01,1099.99,341,4399.96,5499.95,112198.98
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-08-01,7699.93,32,1099.99,5499.95,119898.91
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-09-01,9899.91,21,7699.93,5499.95,129798.82
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-10-01,5499.95,54,9899.91,5499.95,135298.77
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-11-01,3299.97,128,5499.95,5499.95,138598.74
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2019-12-01,7699.93,61,3299.97,5499.95,146298.67
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2020-05-01,10999.90,8,7699.93,5499.95,157298.57
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2020-07-01,6599.94,11,10999.90,5499.95,163898.51
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2020-10-01,2199.98,30,6599.94,5499.95,166098.49
"Adventure Works 37"" 1080p LCD HDTV M150W White",TV and Video,2020-11-01,1099.99,69,2199.98,5499.95,167198.48
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2016-02-01,3554.91,64,,3554.91,3554.91
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2016-03-01,1184.97,71,3554.91,3554.91,4739.88
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2016-06-01,5924.85,11,1184.97,3554.91,10664.73
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2016-08-01,3554.91,37,5924.85,3554.91,14219.64
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2016-12-01,9479.76,16,3554.91,3554.91,23699.40
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2017-02-01,3554.91,55,9479.76,3554.91,27254.31
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2017-05-01,8294.79,12,3554.91,3554.91,35549.10
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2017-08-01,2369.94,64,8294.79,3554.91,37919.04
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2017-09-01,3554.91,43,2369.94,3554.91,41473.95
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2017-11-01,8294.79,10,3554.91,3554.91,49768.74
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2017-12-01,4739.88,53,8294.79,3554.91,54508.62
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2018-09-01,1184.97,247,4739.88,3554.91,55693.59
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2019-04-01,5924.85,4,1184.97,3554.91,61618.44
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2019-06-01,15404.61,7,5924.85,3554.91,77023.05
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2019-08-01,5924.85,47,15404.61,3554.91,82947.90
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2019-11-01,8294.79,38,5924.85,3554.91,91242.69
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2019-12-01,9479.76,49,8294.79,3554.91,100722.45
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2020-01-01,7109.82,60,9479.76,3554.91,107832.27
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2020-02-01,1184.97,432,7109.82,3554.91,109017.24
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2020-05-01,1184.97,201,1184.97,3554.91,110202.21
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2020-08-01,1184.97,93,1184.97,3554.91,111387.18
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2021-01-01,1184.97,120,1184.97,3554.91,112572.15
"Adventure Works 40"" LCD HDTV M690 Black",TV and Video,2021-02-01,2369.94,67,1184.97,3554.91,114942.09
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2016-01-01,2369.94,67,,2369.94,2369.94
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2016-02-01,10664.73,11,2369.94,2369.94,13034.67
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2016-07-01,1184.97,104,10664.73,2369.94,14219.64
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2016-10-01,5924.85,16,1184.97,2369.94,20144.49
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2016-11-01,4739.88,29,5924.85,2369.94,24884.37
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2017-01-01,1184.97,153,4739.88,2369.94,26069.34
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2017-03-01,3554.91,19,1184.97,2369.94,29624.25
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2017-05-01,1184.97,133,3554.91,2369.94,30809.22
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2017-07-01,1184.97,123,1184.97,2369.94,31994.19
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2017-08-01,3554.91,36,1184.97,2369.94,35549.10
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2017-12-01,8294.79,24,3554.91,2369.94,43843.89
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2018-01-01,3554.91,60,8294.79,2369.94,47398.80
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2018-07-01,7109.82,20,3554.91,2369.94,54508.62
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2018-09-01,5924.85,41,7109.82,2369.94,60433.47
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2018-10-01,5924.85,36,5924.85,2369.94,66358.32
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2018-11-01,9479.76,24,5924.85,2369.94,75838.08
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2019-01-01,5924.85,63,9479.76,2369.94,81762.93
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2019-05-01,14219.64,11,5924.85,2369.94,95982.57
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2019-10-01,5924.85,49,14219.64,2369.94,101907.42
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2019-11-01,8294.79,38,5924.85,2369.94,110202.21
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2019-12-01,1184.97,504,8294.79,2369.94,111387.18
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2020-02-01,7109.82,62,1184.97,2369.94,118497.00
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2020-08-01,2369.94,45,7109.82,2369.94,120866.94
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2020-09-01,2369.94,50,2369.94,2369.94,123236.88
"Adventure Works 40"" LCD HDTV M690 Brown",TV and Video,2020-12-01,2369.94,67,2369.94,2369.94,125606.82
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2016-01-01,7109.82,16,,7109.82,7109.82
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2016-03-01,4739.88,17,7109.82,7109.82,11849.70
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2016-07-01,1184.97,104,4739.88,7109.82,13034.67
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2016-10-01,1184.97,141,1184.97,7109.82,14219.64
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2016-11-01,9479.76,10,1184.97,7109.82,23699.40
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2016-12-01,8294.79,20,9479.76,7109.82,31994.19
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-01-01,2369.94,78,8294.79,7109.82,34364.13
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-02-01,8294.79,13,2369.94,7109.82,42658.92
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-03-01,3554.91,19,8294.79,7109.82,46213.83
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-05-01,3554.91,47,3554.91,7109.82,49768.74
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-06-01,1184.97,134,3554.91,7109.82,50953.71
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-09-01,1184.97,148,1184.97,7109.82,52138.68
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2017-11-01,1184.97,152,1184.97,7109.82,53323.65
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2018-09-01,5924.85,41,1184.97,7109.82,59248.50
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2018-10-01,2369.94,147,5924.85,7109.82,61618.44
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2019-01-01,2369.94,232,2369.94,7109.82,63988.38
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2019-02-01,9479.76,40,2369.94,7109.82,73468.14
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2019-06-01,2369.94,164,9479.76,7109.82,75838.08
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2019-07-01,2369.94,158,2369.94,7109.82,78208.02
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2019-09-01,10664.73,16,2369.94,7109.82,88872.75
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2020-01-01,4739.88,117,10664.73,7109.82,93612.63
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2020-02-01,2369.94,259,4739.88,7109.82,95982.57
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2020-06-01,2369.94,89,2369.94,7109.82,98352.51
"Adventure Works 40"" LCD HDTV M690 Silver",TV and Video,2020-12-01,10664.73,4,2369.94,7109.82,109017.24
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2016-02-01,9479.76,15,,9479.76,9479.76
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2016-05-01,9479.76,12,9479.76,9479.76,18959.52
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2016-06-01,2369.94,55,9479.76,9479.76,21329.46
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2016-09-01,7109.82,11,2369.94,9479.76,28439.28
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2016-10-01,3554.91,38,7109.82,9479.76,31994.19
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2017-01-01,3554.91,47,3554.91,9479.76,35549.10
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2017-02-01,1184.97,181,3554.91,9479.76,36734.07
"Adventure Works 40"" LCD HDTV M690 White",TV and Video,2017-07-01,5924.85,13,1184.97,9479.76,42658.92
